SubjID,SubjAge,category,category_nr,visSim,artificiality,item,item_nr,picture_id,RT,Response
5,23,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,2340,länglich
5,23,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,1949,länglich
5,23,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,1263,gleich
5,23,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,1408,gleich
5,23,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,845,länglich
5,23,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,4426,länglich
5,23,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,1092,gleich
5,23,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,1379,gleich
5,23,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,1148,länglich
5,23,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,1042,länglich
5,23,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,1184,länglich
5,23,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,1037,gleich
5,23,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,816,länglich
5,23,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,803,länglich
5,23,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,621,länglich
5,23,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,772,gleich
5,23,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,735,gleich
5,23,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,932,länglich
5,23,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,829,länglich
5,23,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,768,länglich
5,23,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,1569,gleich
5,23,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,836,länglich
5,23,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,1586,länglich
5,23,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,671,länglich
5,23,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,784,länglich
5,23,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,1284,gleich
5,23,Obst,13,0,nat,Banane,3,C13I03_Banane_0,946,länglich
5,23,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,1211,gleich
5,23,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,642,länglich
5,23,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,542,länglich
5,23,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,589,gleich
5,23,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,780,gleich
5,23,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,594,länglich
5,23,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,716,länglich
5,23,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,1120,länglich
5,23,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,574,länglich
5,23,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,910,gleich
5,23,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,1970,gleich
5,23,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,1124,gleich
5,23,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,997,länglich
5,23,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,1661,länglich
5,23,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,800,gleich
5,23,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,639,länglich
5,23,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,1215,gleich
5,23,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,837,länglich
5,23,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,815,länglich
5,23,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,782,gleich
6,29,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,1180,länglich
6,29,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,929,länglich
6,29,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,574,gleich
6,29,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,2244,gleich
6,29,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,956,länglich
6,29,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,740,länglich
6,29,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,589,länglich
6,29,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,685,gleich
6,29,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,2093,keineAhnung
6,29,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,1197,gleich
